"story_id","gold","shuffled","model_reordered"
"10","Ann wanted to be a fashion model | She saw a notice that a modeling agent was coming to town | Ann went on a crash diet to look like a model | She went to the agent, feeling hungry but fashion model thin | The agent took one look and said Ann was too short to model","She went to the agent, feeling hungry but fashion model thin | She saw a notice that a modeling agent was coming to town | Ann wanted to be a fashion model | Ann went on a crash diet to look like a model | The agent took one look and said Ann was too short to model","Ann wanted to be a fashion model | Ann went on a crash diet to look like a model | She saw a notice that a modeling agent was coming to town | She went to the agent, feeling hungry but fashion model thin | The agent took one look and said Ann was too short to model"
"11","Lucy was running from an angry old man | She had been playing with his puppy before he got angry | She ran for blocks without looking back | When she stopped she didn't recognize the houses | Adrenaline ran through her veins as she realized she was lost","She ran for blocks without looking back | When she stopped she didn't recognize the houses | She had been playing with his puppy before he got angry | Lucy was running from an angry old man | Adrenaline ran through her veins as she realized she was lost","She had been playing with his puppy before he got angry | Lucy was running from an angry old man | She ran for blocks without looking back | When she stopped she didn't recognize the houses | Adrenaline ran through her veins as she realized she was lost"
"12","Dan wanted to buy a new car | He went out on a nearby lot to shop around | They had a model that really appealed to Dan | Dan signed the paperwork and made a downpayment | Dan drove away with a brand new BMW","Dan wanted to buy a new car | He went out on a nearby lot to shop around | Dan signed the paperwork and made a downpayment | They had a model that really appealed to Dan | Dan drove away with a brand new BMW","Dan wanted to buy a new car | He went out on a nearby lot to shop around | They had a model that really appealed to Dan | Dan signed the paperwork and made a downpayment | Dan drove away with a brand new BMW"
"13","Adam got a new job | He was going to transcribe data | He was pushed type fast | He won lots of awards | They promoted Adam","He won lots of awards | Adam got a new job | He was pushed type fast | He was going to transcribe data | They promoted Adam","Adam got a new job | He was going to transcribe data | He was pushed type fast | They promoted Adam | He won lots of awards"
"14","Julie decided to run a lemonade stand to earn money for toys | She painted a big sturdy box bright colors for a table | Her mom helped by making a sign | On a hot summer day, they made several pitchers of lemonade | Julie bought a new toy with money she made selling to the neighbors","Her mom helped by making a sign | Julie bought a new toy with money she made selling to the neighbors | On a hot summer day, they made several pitchers of lemonade | She painted a big sturdy box bright colors for a table | Julie decided to run a lemonade stand to earn money for toys","Julie decided to run a lemonade stand to earn money for toys | She painted a big sturdy box bright colors for a table | Her mom helped by making a sign | On a hot summer day, they made several pitchers of lemonade | Julie bought a new toy with money she made selling to the neighbors"
"15","Bob was walking in the park | He got hungry | He decided to forage for food | He found some mushrooms | He ate them and got sick","He found some mushrooms | He decided to forage for food | He ate them and got sick | Bob was walking in the park | He got hungry","Bob was walking in the park | He got hungry | He decided to forage for food | He found some mushrooms | He ate them and got sick"
"16","Al was taking a class for college | He needed a certain book for his class | He was talking to his friend about finding the book | His friend told him he already had the book | Al's friend let him borrow the book for class","Al's friend let him borrow the book for class | He needed a certain book for his class | Al was taking a class for college | He was talking to his friend about finding the book | His friend told him he already had the book","Al was taking a class for college | He needed a certain book for his class | He was talking to his friend about finding the book | His friend told him he already had the book | Al's friend let him borrow the book for class"
"17","Trudy felt sad so thought she needed a pet | She decided to buy a Puli | She called some Puli owners in town and asked to buy one | The third Puli owner agreed to sell Trudy one of her dogs | So Trudy bought a Puli and is now much happier","Trudy felt sad so thought she needed a pet | The third Puli owner agreed to sell Trudy one of her dogs | So Trudy bought a Puli and is now much happier | She decided to buy a Puli | She called some Puli owners in town and asked to buy one","Trudy felt sad so thought she needed a pet | The third Puli owner agreed to sell Trudy one of her dogs | She decided to buy a Puli | So Trudy bought a Puli and is now much happier | She called some Puli owners in town and asked to buy one"
"18","Max noticed he was always tired so he went to the doctor for help | His doctor asked Max if he slept through the night regularly | Max couldn't remember the last time he had slept through the night | The doctor gave him a small sample of sleeping pills to try | After taking a pill for four nights, Max felt awake during the day","The doctor gave him a small sample of sleeping pills to try | After taking a pill for four nights, Max felt awake during the day | Max couldn't remember the last time he had slept through the night | His doctor asked Max if he slept through the night regularly | Max noticed he was always tired so he went to the doctor for help","Max noticed he was always tired so he went to the doctor for help | His doctor asked Max if he slept through the night regularly | Max couldn't remember the last time he had slept through the night | The doctor gave him a small sample of sleeping pills to try | After taking a pill for four nights, Max felt awake during the day"
"19","Joshua couldn't afford the assigned textbooks | His college textbooks were going to cost over 500 dollars | He knew that a similar amount would be expected in future quarters | Joshua had to decide between stealing them and switching majors | Joshua made the choice that felt right and just","Joshua couldn't afford the assigned textbooks | He knew that a similar amount would be expected in future quarters | Joshua made the choice that felt right and just | Joshua had to decide between stealing them and switching majors | His college textbooks were going to cost over 500 dollars","His college textbooks were going to cost over 500 dollars | Joshua couldn't afford the assigned textbooks | He knew that a similar amount would be expected in future quarters | Joshua had to decide between stealing them and switching majors | Joshua made the choice that felt right and just"
"20","Jane loved disney princesses | She always wanted to be young when she was young | For her 21st birthday, he boyfriend took her to Disneyland | She couldn't of picked a better holiday destination | Despite her age, she got pictures with all the princesses","Jane loved disney princesses | She couldn't of picked a better holiday destination | For her 21st birthday, he boyfriend took her to Disneyland | She always wanted to be young when she was young | Despite her age, she got pictures with all the princesses","Jane loved disney princesses | She always wanted to be young when she was young | For her 21st birthday, he boyfriend took her to Disneyland | Despite her age, she got pictures with all the princesses | She couldn't of picked a better holiday destination"
"21","Yesterday I got a haircut | I told my stylist I wanted to do something bold this time | I told her to surprise me with something fun | She gave me the most adorable and funky pixie cut | I'm in love with my new look!","I told her to surprise me with something fun | She gave me the most adorable and funky pixie cut | I'm in love with my new look! | I told my stylist I wanted to do something bold this time | Yesterday I got a haircut","Yesterday I got a haircut | I told my stylist I wanted to do something bold this time | I told her to surprise me with something fun | She gave me the most adorable and funky pixie cut | I'm in love with my new look!"
"22","Our car started making noises when we stopped | I had heard that sound before | It usually meant the brakes had to be serviced | My wife brought the car in | There was only debris that needed to be cleaned out","I had heard that sound before | There was only debris that needed to be cleaned out | Our car started making noises when we stopped | It usually meant the brakes had to be serviced | My wife brought the car in","Our car started making noises when we stopped | I had heard that sound before | It usually meant the brakes had to be serviced | My wife brought the car in | There was only debris that needed to be cleaned out"
"23","Andrew had a brand new Dodge Challenger car | But now it has a key-scratch along the driver's side | Andrew said a girl from his job calls him a lot for rides to work | His girlfriend complained because he lets another girl in his car | She left for work, scratched his car and texted him, show her that!","His girlfriend complained because he lets another girl in his car | But now it has a key-scratch along the driver's side | Andrew had a brand new Dodge Challenger car | Andrew said a girl from his job calls him a lot for rides to work | She left for work, scratched his car and texted him, show her that!","Andrew had a brand new Dodge Challenger car | Andrew said a girl from his job calls him a lot for rides to work | She left for work, scratched his car and texted him, show her that! | But now it has a key-scratch along the driver's side | His girlfriend complained because he lets another girl in his car"
"24","I ordered my new pajamas | They came in the mail a week later | They were covered in pictures of little animals | I squealed with delight when I saw them | I put them on and wore them all day","They were covered in pictures of little animals | They came in the mail a week later | I ordered my new pajamas | I put them on and wore them all day | I squealed with delight when I saw them","I ordered my new pajamas | They came in the mail a week later | They were covered in pictures of little animals | I squealed with delight when I saw them | I put them on and wore them all day"
"25","Two best friends decided to go camping | They hiked way up on a hill and set up their tent | When night fell, they started to hear scary noises | They thought there was a bear outside their tent | When they checked, it was only a tree branch!","Two best friends decided to go camping | They thought there was a bear outside their tent | When night fell, they started to hear scary noises | When they checked, it was only a tree branch! | They hiked way up on a hill and set up their tent","Two best friends decided to go camping | They hiked way up on a hill and set up their tent | When night fell, they started to hear scary noises | They thought there was a bear outside their tent | When they checked, it was only a tree branch!"
"26","Tammy was a very proud girl scout | She had worked hard for weeks selling cookies door to door | Now it was time to hear the rankings | She was delighted to hear that she had sold the most | She ended up winning a cute pink radio","Tammy was a very proud girl scout | She had worked hard for weeks selling cookies door to door | Now it was time to hear the rankings | She was delighted to hear that she had sold the most | She ended up winning a cute pink radio","Tammy was a very proud girl scout | She had worked hard for weeks selling cookies door to door | Now it was time to hear the rankings | She was delighted to hear that she had sold the most | She ended up winning a cute pink radio"
"27","People shook their heads because Stu wouldn't buy a car | Each day, Stu pedaled a bike ten miles to and from work | While his peers suffered health woes, Stu was as fit as a teen | When Stu retired, many of his buddies were already dead | Stu rode his bike to visit them at the cemetery regularly","Stu rode his bike to visit them at the cemetery regularly | When Stu retired, many of his buddies were already dead | People shook their heads because Stu wouldn't buy a car | Each day, Stu pedaled a bike ten miles to and from work | While his peers suffered health woes, Stu was as fit as a teen","Each day, Stu pedaled a bike ten miles to and from work | People shook their heads because Stu wouldn't buy a car | While his peers suffered health woes, Stu was as fit as a teen | When Stu retired, many of his buddies were already dead | Stu rode his bike to visit them at the cemetery regularly"
"28","Tony wanted to cleanse his body | He always ate a lot of junk food | He was gaining a lot of weight | He cut out the junk food and drank nothing but water | After a week, his body was cleansed","He always ate a lot of junk food | He was gaining a lot of weight | He cut out the junk food and drank nothing but water | After a week, his body was cleansed | Tony wanted to cleanse his body","Tony wanted to cleanse his body | He always ate a lot of junk food | He was gaining a lot of weight | He cut out the junk food and drank nothing but water | After a week, his body was cleansed"
"29","Sam lived at the bottom of a hill | She found a basketball near her mailbox | The ball had a name written on it in a black marker | She took the ball to that person's house | The ball owner thanked Sam for her help","The ball owner thanked Sam for her help | Sam lived at the bottom of a hill | The ball had a name written on it in a black marker | She took the ball to that person's house | She found a basketball near her mailbox","Sam lived at the bottom of a hill | She found a basketball near her mailbox | The ball had a name written on it in a black marker | She took the ball to that person's house | The ball owner thanked Sam for her help"
"30","Jacqueline is afraid of earthquakes | She had to move to Chile to work last year | This year there was a big earthquake in the country | Jacqueline was very scared | She decided to quit her job and move away from Chile","Jacqueline is afraid of earthquakes | She had to move to Chile to work last year | This year there was a big earthquake in the country | She decided to quit her job and move away from Chile | Jacqueline was very scared","Jacqueline is afraid of earthquakes | She had to move to Chile to work last year | This year there was a big earthquake in the country | Jacqueline was very scared | She decided to quit her job and move away from Chile"
"31","Anne wanted to feed seagulls | She went down to the lake | There, she crumbled up bread slices | She threw them into the air | Soon tons of gulls were feeding by her!","She went down to the lake | Anne wanted to feed seagulls | She threw them into the air | There, she crumbled up bread slices | Soon tons of gulls were feeding by her!","Anne wanted to feed seagulls | She went down to the lake | There, she crumbled up bread slices | She threw them into the air | Soon tons of gulls were feeding by her!"
"32","Kate's mom bought a new house | The house was older | It wasn't in good shape | It needed a lot of work | But she was excited about doing the repairs herself","But she was excited about doing the repairs herself | The house was older | It needed a lot of work | It wasn't in good shape | Kate's mom bought a new house","Kate's mom bought a new house | The house was older | It wasn't in good shape | It needed a lot of work | But she was excited about doing the repairs herself"
"33","Tony loved his dog Snowy more than anything in the world | One day, he forgot to close the front door and his dog ran outside | Toby was devastated and missed his dog terribly | Then he decided to make Lost Dog fliers | While he hung fliers up, a lady saw one and told him she had Snowy!","Then he decided to make Lost Dog fliers | While he hung fliers up, a lady saw one and told him she had Snowy! | One day, he forgot to close the front door and his dog ran outside | Toby was devastated and missed his dog terribly | Tony loved his dog Snowy more than anything in the world","Tony loved his dog Snowy more than anything in the world | One day, he forgot to close the front door and his dog ran outside | Toby was devastated and missed his dog terribly | Then he decided to make Lost Dog fliers | While he hung fliers up, a lady saw one and told him she had Snowy!"
"34","Brad was on a picnic with his family | He had prepared several sandwiches and a pitcher of lemonade | Before they had a chance to eat, a large noise startled them | A bear had crept up behind them and was sniffing at the food | Brad and his family ran away and left the food for the bear","Brad and his family ran away and left the food for the bear | He had prepared several sandwiches and a pitcher of lemonade | Before they had a chance to eat, a large noise startled them | Brad was on a picnic with his family | A bear had crept up behind them and was sniffing at the food","He had prepared several sandwiches and a pitcher of lemonade | Brad was on a picnic with his family | Brad and his family ran away and left the food for the bear | Before they had a chance to eat, a large noise startled them | A bear had crept up behind them and was sniffing at the food"
"35","Ana invited her friends to her fifteenth birthday party | She was hispanic, and fifteen was a big deal | She had a big party, called a quinceanera | Tons of friends came for cake and socializing | Ana had a great time at her party!","Tons of friends came for cake and socializing | Ana invited her friends to her fifteenth birthday party | She had a big party, called a quinceanera | She was hispanic, and fifteen was a big deal | Ana had a great time at her party!","She was hispanic, and fifteen was a big deal | Ana invited her friends to her fifteenth birthday party | She had a big party, called a quinceanera | Tons of friends came for cake and socializing | Ana had a great time at her party!"
"36","Melvin is a dancer | He feels a lot of pressure to be skinny | One day he tried throwing up after eating | It did not make him feel good | Melvin doesn't want to throw up again to be skinny","Melvin doesn't want to throw up again to be skinny | It did not make him feel good | Melvin is a dancer | He feels a lot of pressure to be skinny | One day he tried throwing up after eating","Melvin is a dancer | He feels a lot of pressure to be skinny | One day he tried throwing up after eating | It did not make him feel good | Melvin doesn't want to throw up again to be skinny"
"37","Victoria had too many clothes | She would buy more clothes every time she got paid | She was running out of room to put all of her clothes | She bought hangers to hang them in her closet | Now she has enough room for new clothes","She bought hangers to hang them in her closet | Now she has enough room for new clothes | She was running out of room to put all of her clothes | Victoria had too many clothes | She would buy more clothes every time she got paid","Victoria had too many clothes | She was running out of room to put all of her clothes | She bought hangers to hang them in her closet | She would buy more clothes every time she got paid | Now she has enough room for new clothes"
"38","Steve's car didn't look like the best, but it was the fastest | After school, Chris sat inside his convertible with his girlfriend | His girlfriend said Steve was looking at her | Chris tried to start a fight but Steve said let's race | Steve beat Chris in a car race and Chris had the newer car","His girlfriend said Steve was looking at her | After school, Chris sat inside his convertible with his girlfriend | Steve beat Chris in a car race and Chris had the newer car | Steve's car didn't look like the best, but it was the fastest | Chris tried to start a fight but Steve said let's race","After school, Chris sat inside his convertible with his girlfriend | His girlfriend said Steve was looking at her | Chris tried to start a fight but Steve said let's race | Steve's car didn't look like the best, but it was the fastest | Steve beat Chris in a car race and Chris had the newer car"
"39","Tina wanted to go to the theme park | Problem was it was too expensive | So she ended up going to a discount site | She found tickets half off | Then she was able to go","She found tickets half off | Then she was able to go | Tina wanted to go to the theme park | Problem was it was too expensive | So she ended up going to a discount site","Tina wanted to go to the theme park | Problem was it was too expensive | So she ended up going to a discount site | She found tickets half off | Then she was able to go"
"40","Sue had worked all summer to get ready for the marathon | When the race started Sue bolted off the starting line | She ran 26 miles | As she ran she stopped and got some water | When she crossed the finish line her family was there cheering her on","She ran 26 miles | When the race started Sue bolted off the starting line | As she ran she stopped and got some water | Sue had worked all summer to get ready for the marathon | When she crossed the finish line her family was there cheering her on","Sue had worked all summer to get ready for the marathon | When the race started Sue bolted off the starting line | As she ran she stopped and got some water | She ran 26 miles | When she crossed the finish line her family was there cheering her on"
"41","I thought it would be nice to drop in on family last weekend | I drove an hour away to where my aunt lives | When I got there nobody was home | I called to see what was going on | Apparently they had the same idea and were visiting me at home","When I got there nobody was home | I called to see what was going on | Apparently they had the same idea and were visiting me at home | I drove an hour away to where my aunt lives | I thought it would be nice to drop in on family last weekend","I thought it would be nice to drop in on family last weekend | I drove an hour away to where my aunt lives | When I got there nobody was home | I called to see what was going on | Apparently they had the same idea and were visiting me at home"
"42","David had only a few friends, but none he could count on | He began adding new people in neighboring towns on social media | Nobody had accepted his requests after 12 hours, and he was sad | He decided to go to bed and ignore his computer for the night | When he awoke, he found that almost all the people had accepted!","David had only a few friends, but none he could count on | Nobody had accepted his requests after 12 hours, and he was sad | He decided to go to bed and ignore his computer for the night | He began adding new people in neighboring towns on social media | When he awoke, he found that almost all the people had accepted!","David had only a few friends, but none he could count on | He began adding new people in neighboring towns on social media | Nobody had accepted his requests after 12 hours, and he was sad | He decided to go to bed and ignore his computer for the night | When he awoke, he found that almost all the people had accepted!"
"43","When Ann met John, he made a poor impression | John barely spoke to her or even look at her | Ann concluded that John was arrogant and rude | John wrote Ann a letter, explaining she made him feel nervous | Ann was surprised to learn that John was actually smitten with her!","When Ann met John, he made a poor impression | John wrote Ann a letter, explaining she made him feel nervous | Ann concluded that John was arrogant and rude | Ann was surprised to learn that John was actually smitten with her! | John barely spoke to her or even look at her","When Ann met John, he made a poor impression | John barely spoke to her or even look at her | Ann concluded that John was arrogant and rude | John wrote Ann a letter, explaining she made him feel nervous | Ann was surprised to learn that John was actually smitten with her!"
"44","Ted wasn't very good at dating | He had been looking for a date for a long time | A friend suggested an online dating site | Ted figured he had nothing else to lose | Ted was able to find a nice date on the website","Ted wasn't very good at dating | Ted was able to find a nice date on the website | He had been looking for a date for a long time | A friend suggested an online dating site | Ted figured he had nothing else to lose","Ted wasn't very good at dating | He had been looking for a date for a long time | A friend suggested an online dating site | Ted figured he had nothing else to lose | Ted was able to find a nice date on the website"
"45","Alana was going to start kindergarten | She was very excited but also very nervous | Alana was used to spending all her time around family only | Her first day school went well | Alana loved school and became a very popular student","Her first day school went well | Alana was used to spending all her time around family only | Alana loved school and became a very popular student | She was very excited but also very nervous | Alana was going to start kindergarten","Alana was going to start kindergarten | Alana was used to spending all her time around family only | She was very excited but also very nervous | Her first day school went well | Alana loved school and became a very popular student"
"46","Scott was relentlessly pestering his big brother, Paul | Out of desperation, Paul thought of an idea to entertain Scott | Paul disassembled his Tyrannosaurus rex skeleton model | He hid the many pieces throughout the family's sandbox | Scott was happily occupied for the rest of the day with his digging!","Out of desperation, Paul thought of an idea to entertain Scott | He hid the many pieces throughout the family's sandbox | Scott was happily occupied for the rest of the day with his digging! | Scott was relentlessly pestering his big brother, Paul | Paul disassembled his Tyrannosaurus rex skeleton model","Scott was relentlessly pestering his big brother, Paul | Out of desperation, Paul thought of an idea to entertain Scott | Paul disassembled his Tyrannosaurus rex skeleton model | He hid the many pieces throughout the family's sandbox | Scott was happily occupied for the rest of the day with his digging!"
"47","Josie couldn't find a date for prom | All her friends were going | Her friends started trying to find her a date | In the end, her friends decided they didn't want dates either | They all went together in a group!","In the end, her friends decided they didn't want dates either | Her friends started trying to find her a date | Josie couldn't find a date for prom | All her friends were going | They all went together in a group!","Josie couldn't find a date for prom | Her friends started trying to find her a date | In the end, her friends decided they didn't want dates either | All her friends were going | They all went together in a group!"
"48","Tisha was born and raised in Chicago | She had a great childhood there and wanted the same for her kids | The crime rate began to grow rapidly | Chicago was becoming a dangerous place to raise kids | Tisha moved her family to Indianapolis Indiana for a safer life","Chicago was becoming a dangerous place to raise kids | The crime rate began to grow rapidly | Tisha moved her family to Indianapolis Indiana for a safer life | She had a great childhood there and wanted the same for her kids | Tisha was born and raised in Chicago","Tisha was born and raised in Chicago | The crime rate began to grow rapidly | Chicago was becoming a dangerous place to raise kids | She had a great childhood there and wanted the same for her kids | Tisha moved her family to Indianapolis Indiana for a safer life"
"49","May was asked to babysit the neighbor's new baby | She agreed to watch the baby | Soon after the parents left the baby began to cry | May tried everything, but the baby just kept crying | She finally fell asleep 20 minutes before the parents returned","She agreed to watch the baby | May tried everything, but the baby just kept crying | She finally fell asleep 20 minutes before the parents returned | May was asked to babysit the neighbor's new baby | Soon after the parents left the baby began to cry","May was asked to babysit the neighbor's new baby | She agreed to watch the baby | Soon after the parents left the baby began to cry | May tried everything, but the baby just kept crying | She finally fell asleep 20 minutes before the parents returned"
"50","The same lady came in to clean up John's office every evening | John decided to do something nice for her | John got some flowers and a box of candy | John left them on his desk for her | The next day, John learned that his co-workers ate the candy!","John decided to do something nice for her | The next day, John learned that his co-workers ate the candy! | The same lady came in to clean up John's office every evening | John left them on his desk for her | John got some flowers and a box of candy","The same lady came in to clean up John's office every evening | John decided to do something nice for her | John got some flowers and a box of candy | John left them on his desk for her | The next day, John learned that his co-workers ate the candy!"
"51","Sam is a city boy living in Dallas | He had always wanted to go to the beach but never got the chance | At work they there was a contest for the top performers | Sam was in the top 3 in his department | Sam had won tickets to Boracay","At work they there was a contest for the top performers | He had always wanted to go to the beach but never got the chance | Sam is a city boy living in Dallas | Sam was in the top 3 in his department | Sam had won tickets to Boracay","Sam is a city boy living in Dallas | He had always wanted to go to the beach but never got the chance | At work they there was a contest for the top performers | Sam was in the top 3 in his department | Sam had won tickets to Boracay"
"52","Sue drank wine daily, but never felt like she was drunk | Her stomach began to swell and her appetite faded badly | She went to the doctor and was told that she was having liver failure | He recommended a transplant after 6 months of sobriety | She received stem cell treatment in Mexico and her liver was healed","She received stem cell treatment in Mexico and her liver was healed | She went to the doctor and was told that she was having liver failure | Sue drank wine daily, but never felt like she was drunk | Her stomach began to swell and her appetite faded badly | He recommended a transplant after 6 months of sobriety","Sue drank wine daily, but never felt like she was drunk | Her stomach began to swell and her appetite faded badly | She went to the doctor and was told that she was having liver failure | He recommended a transplant after 6 months of sobriety | She received stem cell treatment in Mexico and her liver was healed"
"53","Tom was going to high-school for the first time | He decided to reinvent himself | He created a whole new style for himself | All the other students thought he looked goofy | Tom was picked on alot after that","Tom was going to high-school for the first time | Tom was picked on alot after that | He decided to reinvent himself | He created a whole new style for himself | All the other students thought he looked goofy","Tom was going to high-school for the first time | Tom was picked on alot after that | He decided to reinvent himself | He created a whole new style for himself | All the other students thought he looked goofy"
"54","Bill loved his Ford mustang more than anything | It was his baby from his college years | Bill was having a baby | He had to save as much money as possible | Bill let go of his baby and sold his Mustang","It was his baby from his college years | Bill let go of his baby and sold his Mustang | Bill was having a baby | Bill loved his Ford mustang more than anything | He had to save as much money as possible","Bill was having a baby | It was his baby from his college years | Bill loved his Ford mustang more than anything | He had to save as much money as possible | Bill let go of his baby and sold his Mustang"
"55","Marge was an all star cook but an even greater baker | She cooked the best red velvet cupcakes and won many competitions | One day she competed for the title of cupcake queen | She placed first place with ease and was crowned the new queen | She remained the queen for as long as she competed never to be beat","She remained the queen for as long as she competed never to be beat | She cooked the best red velvet cupcakes and won many competitions | One day she competed for the title of cupcake queen | She placed first place with ease and was crowned the new queen | Marge was an all star cook but an even greater baker","Marge was an all star cook but an even greater baker | One day she competed for the title of cupcake queen | She placed first place with ease and was crowned the new queen | She remained the queen for as long as she competed never to be beat | She cooked the best red velvet cupcakes and won many competitions"
"56","Jennifer was a little girl | A man pulled up to her house | He offered her candy | Jennifer's brother was with her | He told her to stay away","Jennifer's brother was with her | He offered her candy | He told her to stay away | A man pulled up to her house | Jennifer was a little girl","Jennifer was a little girl | Jennifer's brother was with her | A man pulled up to her house | He told her to stay away | He offered her candy"
"57","George had gone to the bar | He had drank too many beers | George was barely able to walk | The bartender called George's wife | She came to the bar to pick up George","George was barely able to walk | He had drank too many beers | George had gone to the bar | The bartender called George's wife | She came to the bar to pick up George","George was barely able to walk | He had drank too many beers | George had gone to the bar | The bartender called George's wife | She came to the bar to pick up George"
"58","May wanted to be a model | She was very pretty, so she knew she had a chance | She entered competitions as often as she could | Soon she was spotted by a local talent agent | May was recruited to model for a major agency!","Soon she was spotted by a local talent agent | May wanted to be a model | May was recruited to model for a major agency! | She entered competitions as often as she could | She was very pretty, so she knew she had a chance","May wanted to be a model | She was very pretty, so she knew she had a chance | She entered competitions as often as she could | Soon she was spotted by a local talent agent | May was recruited to model for a major agency!"
"59","Sam went to the taco hut for some tacos | When he went there they were out of his favorite hot sauce | He asked if they had any in the back | They said they were all out | Sam decided to get a burrito instead","When he went there they were out of his favorite hot sauce | Sam decided to get a burrito instead | He asked if they had any in the back | They said they were all out | Sam went to the taco hut for some tacos","Sam went to the taco hut for some tacos | When he went there they were out of his favorite hot sauce | He asked if they had any in the back | They said they were all out | Sam decided to get a burrito instead"
