original_story,reordered_story,reason
"At a house party, Joe was having a conversation with the host | The host and Joe disagreed on a political matter | Joe was getting annoyed but did not show it | The host had no idea that he was getting on Joe's nerves | Joe later got revenge on the hose by secretly knotting all his shoes","At a house party, Joe was having a conversation with the host | The host and Joe disagreed on a political matter | Joe was getting annoyed but did not show it | The host had no idea that he was getting on Joe's nerves | Joe later got revenge on the host by secretly knotting all his shoes",not a permutation of any gold story
"Rose donned her blue bikini | It was much smaller than she remembered it being | Or she was much large than she had been | It covered what needed covering, though | Rose ran out through the snow and jumped into the hot tub","Rose donned her blue bikini | It was much smaller than she remembered it being | Rose ran out through the snow and jumped into the hot tub | It covered what needed covering, though | Or she was much larger than she had been",not a permutation of any gold story
Rob was playing Mortal Kombat against his parents wishes | He usually only played the game late at night while the slept | One day his friend Alex came over and wanted to play | They played the game quietly to avoid being caught | They quickly pretended to be reading when Rob's mom came in the room,Rob was playing Mortal Kombat against his parents wishes | One day his friend Alex came over and wanted to play | They played the game quietly to avoid being caught | He usually only played the game late at night while they slept | They quickly pretended to be reading when Rob's mom came in the room,not a permutation of any gold story
"Beth was excited to go to the mall on Friday | She had just gotten her driver's license and wanted to show off | On the way, she decided to listen to some music | She got preoccupied trying to put a cd in the stereo | She missed the red light and ran straight into another car, killing he","Beth was excited to go to the mall on Friday | She had just gotten her driver's license and wanted to show off | On the way, she decided to listen to some music | She got preoccupied trying to put a cd in the stereo | She missed the red light and ran straight into another car, killing her",not a permutation of any gold story
"I was floating in the lazy river | The waves was carrying my float across the river | However, two people were fighting | One was pushed towards me | I ended up getting hit",I was floating in the lazy river | Two people were fighting | One was pushed towards me | I ended up getting hit | The waves was carrying my float across the river,not a permutation of any gold story
Martin took out his old baseball bat | He swung it | It seemed heavier than before | He swung again and hit a lamp | Martin swept up the glass off the garage floor,Martin took out his old baseball bat | He swung it | He swung again and hit a lamp | Martin swept up the glass off the garage floor,wrong sentence count
Joe's family was growing | He was getting ready to welcome his fifth child | Joe needed a bigger car but didn't want a minivan | Joe had to buy a minivan because of its price and number of seats | Joe was surprised at how much he liked his new van,Joe's family was growing | Joe needed a bigger car but didn't want a minivan | Joe had to buy a minivan because of its price and number of seats | Joe was surprised at how much he liked his new van | He was getting ready to welcome his fifth child addCriterion,not a permutation of any gold story
Bill loved the challenge of navigating wild landscapes | Bill wanted to learn more about this | He found many useful youtube videos | Bill bought a few pieces of equipment to help him | Bill later successfully trekked through a jungle,Bill wanted to learn more about this | Bill found many useful youtube videos | Bill bought a few pieces of equipment to help him | Bill later successfully trekked through a jungle | Bill loved the challenge of navigating wild landscapes,not a permutation of any gold story
"Sam was feeling confident | He had a great hand for poker | He had a blank stare so he wouldn't give any of it away | WHen it was time to show his cards, he was beaming | He'd just won a ton of money!","He had a great hand for poker | He had a blank stare so he wouldn't give any of it away | Sam was feeling confident | When it was time to show his cards, he was beaming | He'd just won a ton of money!",not a permutation of any gold story
"Gina was trying, and failing to fall asleep | She had been in the car for only and hour but it felt longer | She could hear all the noise the kids were making | She could hear the chewing as her sister ate a sandwich | Gina felt trapped and hopeless as the car crept through the traffic","She had been in the car for only an hour but it felt longer | Gina felt trapped and hopeless as the car crept through the traffic | She could hear all the noise the kids were making | She could hear the chewing as her sister ate a sandwich | Gina was trying, and failing to fall asleep",not a permutation of any gold story
Chuck liked to play cards | He gambled a lot of money | He lost all of his wife's retirement | He was really scared | When she found out she divorced him,Chuck liked to play cards | He gambled a lot of money | He lost all of his wife's retirement | When she found out she divorced him,wrong sentence count
A thief tried to approach an old lady in the street | He didn't realize that she's a kung fu mentor | She was able to knock him out | He fell on the floor | The police officers came and tool him to jail,A thief tried to approach an old lady in the street | He didn't realize that she's a kung fu mentor | She was able to knock him out | He fell on the floor | The police officers came and took him to jail,not a permutation of any gold story
"Jenn and her Grandma went to bingo one day | They stood in line and bought their papers | They sat down and begin to play | After a couple games of not winning, the started to lose hope | Then they won the last game and went home happy!","They stood in line and bought their papers | They sat down and begin to play | After a couple games of not winning, they started to lose hope | Then they won the last game and went home happy! | Jenn and her Grandma went to bingo one day",not a permutation of any gold story
Tom wanted to meet like-minded people | Tom loved going to the gym | Tom introduced himself to people at the gym | Tom made many great friends | Tom met the like-minded people he was seeking,"Tom wanted to meet like-minded people | Tom went to the gym is not provided, instead Tom loved going to the gym is, so Tom loved going to the gym | Tom introduced himself to people at the gym | Tom met the like-minded people he was seeking | Tom made many great friends",not a permutation of any gold story
"Sandy got a new place | It was a small apartment | When Sandy opened to cabinet, there were roaches | She cried and went to the store | After spraying the kitchen, the roaches were gone forever","It was a small apartment | Sandy got a new place | When Sandy opened the cabinet, there were roaches | She cried and went to the store | After spraying the kitchen, the roaches were gone forever",not a permutation of any gold story
"Marisa was walking down the sidewalk one day in December | She was out of work and had no money | Marisa was concerned about how she could pay for gifts this year | Suddenly, she saw a $100 bill on the ground | Marisa was able to buy gifts for her family","Marisa was out of work and had no money | Marisa was concerned about how she could pay for gifts this year | Marisa was walking down the sidewalk one day in December | Suddenly, she saw a $100 bill on the ground | Marisa was able to buy gifts for her family",not a permutation of any gold story
"Rachel decided to try calamari for the first time | She was quite scared to do soon as it sounded odd | When the chef gave her her order for the table, she took a bite | It was rather chewy but actually delicious | Rachel decided to dear","Rachel decided to try calamari for the first time | She was quite scared to do soon as it sounded odd | When the chef gave her her order for the table, she took a bite | It was rather chewy but actually delicious",wrong sentence count
Tom was out playing golf | A lightning storm started to hit | Tom wanted to finish his game | He was hight by lightning | Tom did not survive the hit,Tom wanted to finish his game | Tom was out playing golf | A lightning storm started to hit | He was hit by lightning | Tom did not survive the hit,not a permutation of any gold story
The couple had worked for ten years to save the money for a home | The hired a builder and broke ground | They oversaw each decision | The home came together beautifully | They moved in on their anniversary and were very happy,The couple had worked for ten years to save the money for a home | They hired a builder and broke ground | They oversaw each decision | The home came together beautifully | They moved in on their anniversary and were very happy,not a permutation of any gold story
"A girl got a pet guinea pig | She spent hours making it a castle out of pÃ¢pier-machÃ© | She put the castle into its cage before she went to bed | In the morning, there was nothing left but shreds and plaster dust | Guinea pigs do not appreciate fine architecture","A girl got a pet guinea pig | She spent hours making it a castle out of pâpier-maché | She put the castle into its cage before she went to bed | Guinea pigs do not appreciate fine architecture | In the morning, there was nothing left but shreds and plaster dust",not a permutation of any gold story
"Cathy loved telling stories about her childhood | Cathy would tell her fondest childhood memories to her kids | Sometimes they would listen intently, and sometimes the would not | There were even times where they would actually laugh at her stories | Cathy was proud to relive her childhood memories with her kids","Cathy would tell her fondest childhood memories to her kids | Cathy loved telling stories about her childhood | Sometimes they would listen intently, and sometimes they would not | There were even times where they would actually laugh at her stories | Cathy was proud to relive her childhood memories with her kids",not a permutation of any gold story
Tom had to explain to me why swimmers have to shave their bodies | I caught Tom shaven this legs and thought it was very weird | He told me he made the swim team and they all shave | He said that having no had on your body makes you swim faster | Although I think it's weird I respect Tom's commitment to the team,He told me he made the swim team and they all shave | He said that having no hair on your body makes you swim faster | Tom had to explain to me why swimmers have to shave their bodies | I caught Tom shaven this legs and thought it was very weird | Although I think it's weird I respect Tom's commitment to the team,not a permutation of any gold story
"The couple loved binge watching shows | The discovered one that they got addicted to | They watched every episode in one weekend | After the finale, they stared at the wall | What were they supposed to do now?","The couple loved binge watching shows | They discovered one that they got addicted to | They watched every episode in one weekend | After the finale, they stared at the wall | What were they supposed to do now?",not a permutation of any gold story
Peggy was a very average woman | She always thought very little of herself | One day Peggy bought a lovely black dress | When she would were it she would glow with self-confidence | Peggy wore the dress to impress her crush and it worked!,Peggy was a very average woman | She always thought very little of herself | One day Peggy bought a lovely black dress | When she would wear it she would glow with self-confidence | Peggy wore the dress to impress her crush and it worked!,not a permutation of any gold story
Tom got invited to a formal party | He needed a suit | Tom went to a suit store | He found himself a very nice suit | He drove too the party ,Tom got invited to a formal party | He needed a suit | Tom went to a suit store | He found himself a very nice suit | He drove to the party,not a permutation of any gold story
"John was awakened by a phone call | Answering, John realized it was his buddy, Rich | Rich said he was stranded on a highway just outside of town | John drove out to pick up Rich | John drove Rich home, where they both fell asleep on the couch","Answering, John realized it was his buddy, Rich | Rich said he was stranded on a highway just outside of town | John drove out to pick up Rich | John drove Rich home, where they both fell asleep on the couch",wrong sentence count
Teresa was very cold | She got the heaviest blanket she owned | She put it on top of her lap and huddled by the fireplace | She slowly started to warm up | Teresa was tired of winter!,Teresa was very cold | She was tired of winter! | She got the heaviest blanket she owned | She put it on top of her lap and huddled by the fireplace | She slowly started to warm up,not a permutation of any gold story
"Ken is driving home from the gym | He sees a deer in the road | He swerves out of the way to try and not hit it | He hits the deer anyways | He gets out to check on the deer, it ran off like nothing happened","Ken sees a deer in the road | He swerves out of the way to try and not hit it | He hits the deer anyways | He gets out to check on the deer, it ran off like nothing happened | Ken is driving home from the gym",not a permutation of any gold story
"Mark decided he wanted to surprise his son with a cool gift | He drew up plans for an excellent tree house to build in the backyard | Mark got some friends together to build it all in one day | When Mark's son got home from school, Mark showed him the gift | The boy was incredibly surprised and thrilled at the amazing present","Mark drew up plans for an excellent tree house to build in the backyard | Mark got some friends together to build it all in one day | Mark decided he wanted to surprise his son with a cool gift | When Mark's son got home from school, Mark showed him the gift | The boy was incredibly surprised and thrilled at the amazing present",not a permutation of any gold story
Keri need to go pick up groceries for dinner | She wrote a list of things she would need | At the store she was able to find all the items she needed | The cashier assisted her with placing the groceries in the cart | She went to her car to unload the wonderful meal she bought,She wrote a list of things she would need | Keri need to go pick up groceries for dinner | She went to the store | The cashier assisted her with placing the groceries in the cart | At the store she was able to find all the items she needed | She went to her car to unload the wonderful meal she bought,wrong sentence count
I looked inside of my fridge | I realised that I was out of milk | I put my shoes on and grabbed my keys | I went to the store and bought milk | I returned home and had cereal and milk,I put my shoes on and grabbed my keys | I went to the store and bought milk | I returned home | I looked inside of my fridge | I realised that I was out of milk | I had cereal and milk,wrong sentence count
Danny was going swimming at the public pool down the road | Danny got to the pool and realized it was pool | The pool was being cleaned | Danny went back home | He returned to swim the next day,Danny was going swimming at the public pool down the road | Danny got to the pool and realized it was closed | The pool was being cleaned | Danny went back home | He returned to swim the next day,not a permutation of any gold story
Kim and Tim were are the park on a cool fall day | They stopped to sit on a bench and saw a Cocoa vendor nearby | Tim purchased Kim a large cocoa with whipped cream | Kim and Tim sat in the park and sipped cocoa | Kim thanked Tim and gave him a kiss on the cheek,Kim and Tim were at the park on a cool fall day | They stopped to sit on a bench and saw a Cocoa vendor nearby | Tim purchased Kim a large cocoa with whipped cream | Kim and Tim sat in the park and sipped cocoa | Kim thanked Tim and gave him a kiss on the cheek,not a permutation of any gold story
Kim bought new plants | She was worried about keeping them alive | She made sure to water them often | They still got droopy and started dying | Kim realized she was over-watering\ them,Kim bought new plants | She was worried about keeping them alive | She made sure to water them often | Kim realized she was over-watering them | They still got droopy and started dying,not a permutation of any gold story
Jay was driving very fast one day | He was going in and out of lanes | Jay answered his phone while he was driving too fast | When he was talking he didn't notice the brake lights in front of him | The traffic stopped suddenly and Jay hit the car in front of him,Jay was driving very fast one day | Jay answered his phone while he was driving too fast | When he was talking he didn't notice the brake lights in front of him | The traffic stopped suddenly and Jay hit the car in front of him | He was going in and and out of lanes,not a permutation of any gold story
